dag,tijd,jaar,gem_intensiteit
Friday,00:00,2019,210.1290322580645
Friday,00:00,2020,168.09677419354838
Friday,00:00,2021,202.48387096774192
Friday,00:00,2022,180.96296296296296
Friday,00:00,2023,219.2258064516129
Friday,00:00,2024,225.03225806451613
Friday,01:00,2019,129.48387096774192
Friday,01:00,2020,95.7741935483871
Friday,01:00,2021,109.93548387096774
Friday,01:00,2022,108.44444444444444
Friday,01:00,2023,109.45161290322581
Friday,01:00,2024,131.51612903225808
Friday,02:00,2019,80.19354838709677
Friday,02:00,2020,56.67741935483871
Friday,02:00,2021,68.38709677419355
Friday,02:00,2022,77.5925925925926
Friday,02:00,2023,69.45161290322581
Friday,02:00,2024,91.3225806451613
Friday,03:00,2019,75.6774193548387
Friday,03:00,2020,50.32258064516129
Friday,03:00,2021,69.61290322580645
Friday,03:00,2022,72.77777777777777
Friday,03:00,2023,62.45161290322581
Friday,03:00,2024,95.96774193548387
Friday,04:00,2019,108.87096774193549
Friday,04:00,2020,77.35483870967742
Friday,04:00,2021,89.3225806451613
Friday,04:00,2022,91.11111111111111
Friday,04:00,2023,77.03225806451613
Friday,04:00,2024,118.90322580645162
Friday,05:00,2019,279.6774193548387
Friday,05:00,2020,227.41935483870967
Friday,05:00,2021,252.8709677419355
Friday,05:00,2022,226.96296296296296
Friday,05:00,2023,196.38709677419354
Friday,05:00,2024,241.38709677419354
Friday,06:00,2019,849.483870967742
Friday,06:00,2020,744.1612903225806
Friday,06:00,2021,806.0322580645161
Friday,06:00,2022,714.8148148148148
Friday,06:00,2023,638.3548387096774
Friday,06:00,2024,702.1290322580645
Friday,07:00,2019,1273.516129032258
Friday,07:00,2020,1029.3870967741937
Friday,07:00,2021,1077.516129032258
Friday,07:00,2022,979.6296296296297
Friday,07:00,2023,903.4193548387096
Friday,07:00,2024,977.5806451612904
Friday,08:00,2019,1542.9032258064517
Friday,08:00,2020,1306.8709677419354
Friday,08:00,2021,1419.4516129032259
Friday,08:00,2022,1277.037037037037
Friday,08:00,2023,1095.6129032258063
Friday,08:00,2024,1171.516129032258
Friday,09:00,2019,1306.4516129032259
Friday,09:00,2020,1115.5483870967741
Friday,09:00,2021,1202.8064516129032
Friday,09:00,2022,1041.0740740740741
Friday,09:00,2023,935.5806451612904
Friday,09:00,2024,1024.3225806451612
Friday,10:00,2019,1174.225806451613
Friday,10:00,2020,1015.2258064516129
Friday,10:00,2021,1117.4516129032259
Friday,10:00,2022,975.3333333333334
Friday,10:00,2023,930.7741935483871
Friday,10:00,2024,1009.2258064516129
Friday,11:00,2019,1191.9032258064517
Friday,11:00,2020,1108.8064516129032
Friday,11:00,2021,1165.516129032258
Friday,11:00,2022,1022.0370370370371
Friday,11:00,2023,954.1935483870968
Friday,11:00,2024,1025.1935483870968
Friday,12:00,2019,1269.0
Friday,12:00,2020,1209.0645161290322
Friday,12:00,2021,1290.6129032258063
Friday,12:00,2022,1083.2592592592594
Friday,12:00,2023,1057.2903225806451
Friday,12:00,2024,1110.516129032258
Friday,13:00,2019,1309.6129032258063
Friday,13:00,2020,1226.9032258064517
Friday,13:00,2021,1379.6774193548388
Friday,13:00,2022,1114.888888888889
Friday,13:00,2023,1135.0967741935483
Friday,13:00,2024,1161.8709677419354
Friday,14:00,2019,1386.967741935484
Friday,14:00,2020,1347.032258064516
Friday,14:00,2021,1451.225806451613
Friday,14:00,2022,1233.1851851851852
Friday,14:00,2023,1221.774193548387
Friday,14:00,2024,1285.741935483871
Friday,15:00,2019,1548.8387096774193
Friday,15:00,2020,1421.3548387096773
Friday,15:00,2021,1525.9354838709678
Friday,15:00,2022,1343.4074074074074
Friday,15:00,2023,1261.5483870967741
Friday,15:00,2024,1321.5806451612902
Friday,16:00,2019,1358.4193548387098
Friday,16:00,2020,1359.0645161290322
Friday,16:00,2021,1438.8387096774193
Friday,16:00,2022,1329.888888888889
Friday,16:00,2023,1216.225806451613
Friday,16:00,2024,1274.3548387096773
Friday,17:00,2019,1291.3548387096773
Friday,17:00,2020,1337.967741935484
Friday,17:00,2021,1452.7096774193549
Friday,17:00,2022,1326.5925925925926
Friday,17:00,2023,1125.1612903225807
Friday,17:00,2024,1257.3870967741937
Friday,18:00,2019,1247.741935483871
Friday,18:00,2020,1121.6451612903227
Friday,18:00,2021,1273.483870967742
Friday,18:00,2022,1094.3703703703704
Friday,18:00,2023,985.7741935483871
Friday,18:00,2024,1076.3870967741937
Friday,19:00,2019,950.9032258064516
Friday,19:00,2020,801.4193548387096
Friday,19:00,2021,975.0
Friday,19:00,2022,828.5185185185185
Friday,19:00,2023,753.3225806451613
Friday,19:00,2024,877.4516129032259
Friday,20:00,2019,737.8709677419355
Friday,20:00,2020,617.2903225806451
Friday,20:00,2021,729.741935483871
Friday,20:00,2022,633.7407407407408
Friday,20:00,2023,574.0645161290323
Friday,20:00,2024,709.2258064516129
Friday,21:00,2019,632.1290322580645
Friday,21:00,2020,523.483870967742
Friday,21:00,2021,629.1612903225806
Friday,21:00,2022,536.5925925925926
Friday,21:00,2023,489.83870967741933
Friday,21:00,2024,561.258064516129
Friday,22:00,2019,598.516129032258
Friday,22:00,2020,518.2258064516129
Friday,22:00,2021,603.0322580645161
Friday,22:00,2022,523.7407407407408
Friday,22:00,2023,434.80645161290323
Friday,22:00,2024,501.3225806451613
Friday,23:00,2019,500.2258064516129
Friday,23:00,2020,427.4516129032258
Friday,23:00,2021,502.16129032258067
Friday,23:00,2022,498.6296296296296
Friday,23:00,2023,345.5483870967742
Friday,23:00,2024,403.48387096774195
Monday,00:00,2019,180.6451612903226
Monday,00:00,2020,144.96774193548387
Monday,00:00,2021,176.58064516129033
Monday,00:00,2022,147.66666666666666
Monday,00:00,2023,138.1290322580645
Monday,00:00,2024,177.93548387096774
Monday,01:00,2019,113.19354838709677
Monday,01:00,2020,81.12903225806451
Monday,01:00,2021,102.90322580645162
Monday,01:00,2022,91.03703703703704
Monday,01:00,2023,81.54838709677419
Monday,01:00,2024,99.43548387096774
Monday,02:00,2019,72.96774193548387
Monday,02:00,2020,46.516129032258064
Monday,02:00,2021,58.54838709677419
Monday,02:00,2022,60.2962962962963
Monday,02:00,2023,53.16129032258065
Monday,02:00,2024,67.16129032258064
Monday,03:00,2019,70.06451612903226
Monday,03:00,2020,41.41935483870968
Monday,03:00,2021,56.645161290322584
Monday,03:00,2022,65.11111111111111
Monday,03:00,2023,56.096774193548384
Monday,03:00,2024,60.983870967741936
Monday,04:00,2019,108.61290322580645
Monday,04:00,2020,73.48387096774194
Monday,04:00,2021,89.09677419354838
Monday,04:00,2022,88.03703703703704
Monday,04:00,2023,75.45161290322581
Monday,04:00,2024,92.98387096774194
Monday,05:00,2019,319.19354838709677
Monday,05:00,2020,249.48387096774192
Monday,05:00,2021,269.80645161290323
Monday,05:00,2022,245.22222222222223
Monday,05:00,2023,221.4516129032258
Monday,05:00,2024,271.2903225806452
Monday,06:00,2019,1007.8387096774194
Monday,06:00,2020,832.8387096774194
Monday,06:00,2021,880.5806451612904
Monday,06:00,2022,809.7777777777778
Monday,06:00,2023,700.1290322580645
Monday,06:00,2024,840.8709677419355
Monday,07:00,2019,1422.8387096774193
Monday,07:00,2020,1109.2903225806451
Monday,07:00,2021,1262.032258064516
Monday,07:00,2022,1192.111111111111
Monday,07:00,2023,1097.1612903225807
Monday,07:00,2024,1223.1774193548388
Monday,08:00,2019,1198.258064516129
Monday,08:00,2020,1251.4516129032259
Monday,08:00,2021,1451.6451612903227
Monday,08:00,2022,1383.9259259259259
Monday,08:00,2023,1169.225806451613
Monday,08:00,2024,1284.5645161290322
Monday,09:00,2019,1164.9354838709678
Monday,09:00,2020,1003.5806451612904
Monday,09:00,2021,1061.8387096774193
Monday,09:00,2022,1031.962962962963
Monday,09:00,2023,925.9032258064516
Monday,09:00,2024,1010.0322580645161
Monday,10:00,2019,1096.4193548387098
Monday,10:00,2020,931.8064516129032
Monday,10:00,2021,978.3870967741935
Monday,10:00,2022,837.4074074074074
Monday,10:00,2023,794.6774193548387
Monday,10:00,2024,889.8064516129032
Monday,11:00,2019,1017.8387096774194
Monday,11:00,2020,957.8387096774194
Monday,11:00,2021,987.741935483871
Monday,11:00,2022,846.3703703703703
Monday,11:00,2023,814.0645161290323
Monday,11:00,2024,906.7258064516129
Monday,12:00,2019,1111.7096774193549
Monday,12:00,2020,1027.0967741935483
Monday,12:00,2021,1101.258064516129
Monday,12:00,2022,921.0370370370371
Monday,12:00,2023,920.2258064516129
Monday,12:00,2024,1005.516129032258
Monday,13:00,2019,1147.225806451613
Monday,13:00,2020,957.483870967742
Monday,13:00,2021,1143.258064516129
Monday,13:00,2022,963.2962962962963
Monday,13:00,2023,924.3225806451613
Monday,13:00,2024,1030.3870967741937
Monday,14:00,2019,1245.8064516129032
Monday,14:00,2020,1067.483870967742
Monday,14:00,2021,1215.2903225806451
Monday,14:00,2022,1062.7777777777778
Monday,14:00,2023,1012.8064516129032
Monday,14:00,2024,1133.3709677419354
Monday,15:00,2019,1384.7096774193549
Monday,15:00,2020,1286.9032258064517
Monday,15:00,2021,1414.741935483871
Monday,15:00,2022,1228.148148148148
Monday,15:00,2023,1223.516129032258
Monday,15:00,2024,1321.6774193548388
Monday,16:00,2019,1470.7096774193549
Monday,16:00,2020,1319.225806451613
Monday,16:00,2021,1462.258064516129
Monday,16:00,2022,1291.111111111111
Monday,16:00,2023,1184.774193548387
Monday,16:00,2024,1260.8064516129032
Monday,17:00,2019,1535.774193548387
Monday,17:00,2020,1326.6129032258063
Monday,17:00,2021,1432.6774193548388
Monday,17:00,2022,1261.4444444444443
Monday,17:00,2023,1183.032258064516
Monday,17:00,2024,1312.774193548387
Monday,18:00,2019,1222.225806451613
Monday,18:00,2020,965.3870967741935
Monday,18:00,2021,1077.483870967742
Monday,18:00,2022,942.7037037037037
Monday,18:00,2023,903.1935483870968
Monday,18:00,2024,986.8387096774194
Monday,19:00,2019,790.6129032258065
Monday,19:00,2020,675.6451612903226
Monday,19:00,2021,745.1290322580645
Monday,19:00,2022,640.1481481481482
Monday,19:00,2023,607.0
Monday,19:00,2024,692.3709677419355
Monday,20:00,2019,593.9032258064516
Monday,20:00,2020,558.4193548387096
Monday,20:00,2021,608.741935483871
Monday,20:00,2022,494.22222222222223
Monday,20:00,2023,466.51612903225805
Monday,20:00,2024,595.6935483870968
Monday,21:00,2019,518.3225806451613
Monday,21:00,2020,465.741935483871
Monday,21:00,2021,512.8064516129032
Monday,21:00,2022,433.74074074074076
Monday,21:00,2023,401.258064516129
Monday,21:00,2024,517.5322580645161
Monday,22:00,2019,446.93548387096774
Monday,22:00,2020,382.93548387096774
Monday,22:00,2021,417.3225806451613
Monday,22:00,2022,371.55555555555554
Monday,22:00,2023,349.19354838709677
Monday,22:00,2024,437.64516129032256
Monday,23:00,2019,278.8709677419355
Monday,23:00,2020,223.74193548387098
Monday,23:00,2021,259.61290322580646
Monday,23:00,2022,234.37037037037038
Monday,23:00,2023,230.80645161290323
Monday,23:00,2024,290.4516129032258
Saturday,00:00,2019,342.0967741935484
Saturday,00:00,2020,289.80645161290323
Saturday,00:00,2021,369.8709677419355
Saturday,00:00,2022,297.7037037037037
Saturday,00:00,2023,233.90322580645162
Saturday,00:00,2024,262.1290322580645
Saturday,01:00,2019,219.61290322580646
Saturday,01:00,2020,179.0
Saturday,01:00,2021,211.8709677419355
Saturday,01:00,2022,194.77777777777777
Saturday,01:00,2023,145.93548387096774
Saturday,01:00,2024,163.74193548387098
Saturday,02:00,2019,143.16129032258064
Saturday,02:00,2020,102.80645161290323
Saturday,02:00,2021,139.19354838709677
Saturday,02:00,2022,129.11111111111111
Saturday,02:00,2023,93.70967741935483
Saturday,02:00,2024,107.80645161290323
Saturday,03:00,2019,118.83870967741936
Saturday,03:00,2020,75.25806451612904
Saturday,03:00,2021,105.45161290322581
Saturday,03:00,2022,108.51851851851852
Saturday,03:00,2023,79.54838709677419
Saturday,03:00,2024,86.09677419354838
Saturday,04:00,2019,114.3225806451613
Saturday,04:00,2020,70.12903225806451
Saturday,04:00,2021,95.45161290322581
Saturday,04:00,2022,103.62962962962963
Saturday,04:00,2023,72.64516129032258
Saturday,04:00,2024,83.51612903225806
Saturday,05:00,2019,161.19354838709677
Saturday,05:00,2020,106.16129032258064
Saturday,05:00,2021,127.6774193548387
Saturday,05:00,2022,146.62962962962962
Saturday,05:00,2023,94.45161290322581
Saturday,05:00,2024,112.35483870967742
Saturday,06:00,2019,257.93548387096774
Saturday,06:00,2020,200.09677419354838
Saturday,06:00,2021,237.51612903225808
Saturday,06:00,2022,211.07407407407408
Saturday,06:00,2023,143.38709677419354
Saturday,06:00,2024,172.93548387096774
Saturday,07:00,2019,383.9032258064516
Saturday,07:00,2020,312.258064516129
Saturday,07:00,2021,368.61290322580646
Saturday,07:00,2022,319.0
Saturday,07:00,2023,218.25806451612902
Saturday,07:00,2024,266.2258064516129
Saturday,08:00,2019,616.3870967741935
Saturday,08:00,2020,509.83870967741933
Saturday,08:00,2021,603.5806451612904
Saturday,08:00,2022,496.0740740740741
Saturday,08:00,2023,358.0967741935484
Saturday,08:00,2024,398.5483870967742
Saturday,09:00,2019,884.483870967742
Saturday,09:00,2020,773.6129032258065
Saturday,09:00,2021,899.8709677419355
Saturday,09:00,2022,701.2592592592592
Saturday,09:00,2023,516.9354838709677
Saturday,09:00,2024,590.9354838709677
Saturday,10:00,2019,1034.6774193548388
Saturday,10:00,2020,950.0645161290323
Saturday,10:00,2021,1088.1290322580646
Saturday,10:00,2022,864.7037037037037
Saturday,10:00,2023,648.483870967742
Saturday,10:00,2024,689.8709677419355
Saturday,11:00,2019,1109.258064516129
Saturday,11:00,2020,1045.1290322580646
Saturday,11:00,2021,1193.258064516129
Saturday,11:00,2022,923.0
Saturday,11:00,2023,699.3870967741935
Saturday,11:00,2024,774.5806451612904
Saturday,12:00,2019,1190.032258064516
Saturday,12:00,2020,1140.0
Saturday,12:00,2021,1294.7096774193549
Saturday,12:00,2022,1036.5555555555557
Saturday,12:00,2023,707.3225806451613
Saturday,12:00,2024,827.4516129032259
Saturday,13:00,2019,1280.5806451612902
Saturday,13:00,2020,1207.5806451612902
Saturday,13:00,2021,1350.9032258064517
Saturday,13:00,2022,1091.4444444444443
Saturday,13:00,2023,758.2903225806451
Saturday,13:00,2024,864.741935483871
Saturday,14:00,2019,1225.7096774193549
Saturday,14:00,2020,1222.8064516129032
Saturday,14:00,2021,1302.4516129032259
Saturday,14:00,2022,1145.6666666666667
Saturday,14:00,2023,750.516129032258
Saturday,14:00,2024,873.8709677419355
Saturday,15:00,2019,1183.0
Saturday,15:00,2020,1160.032258064516
Saturday,15:00,2021,1254.6451612903227
Saturday,15:00,2022,1127.3703703703704
Saturday,15:00,2023,662.3225806451613
Saturday,15:00,2024,872.7741935483871
Saturday,16:00,2019,1181.4516129032259
Saturday,16:00,2020,1103.8064516129032
Saturday,16:00,2021,1332.9354838709678
Saturday,16:00,2022,1072.3333333333333
Saturday,16:00,2023,672.7096774193549
Saturday,16:00,2024,840.3870967741935
Saturday,17:00,2019,1157.8387096774193
Saturday,17:00,2020,1075.8064516129032
Saturday,17:00,2021,1283.2903225806451
Saturday,17:00,2022,1052.2962962962963
Saturday,17:00,2023,657.2258064516129
Saturday,17:00,2024,860.1935483870968
Saturday,18:00,2019,1020.8709677419355
Saturday,18:00,2020,902.0645161290323
Saturday,18:00,2021,1030.8709677419354
Saturday,18:00,2022,888.2222222222222
Saturday,18:00,2023,578.4516129032259
Saturday,18:00,2024,801.3548387096774
Saturday,19:00,2019,890.9032258064516
Saturday,19:00,2020,758.3870967741935
Saturday,19:00,2021,863.3225806451613
Saturday,19:00,2022,755.1481481481482
Saturday,19:00,2023,529.0967741935484
Saturday,19:00,2024,696.1612903225806
Saturday,20:00,2019,825.516129032258
Saturday,20:00,2020,650.1935483870968
Saturday,20:00,2021,794.5806451612904
Saturday,20:00,2022,702.074074074074
Saturday,20:00,2023,478.03225806451616
Saturday,20:00,2024,610.9032258064516
Saturday,21:00,2019,700.516129032258
Saturday,21:00,2020,558.3870967741935
Saturday,21:00,2021,829.8387096774194
Saturday,21:00,2022,590.2222222222222
Saturday,21:00,2023,422.51612903225805
Saturday,21:00,2024,526.6451612903226
Saturday,22:00,2019,675.8709677419355
Saturday,22:00,2020,528.1935483870968
Saturday,22:00,2021,674.2258064516129
Saturday,22:00,2022,632.5555555555555
Saturday,22:00,2023,425.0
Saturday,22:00,2024,509.96774193548384
Saturday,23:00,2019,597.6129032258065
Saturday,23:00,2020,504.2903225806452
Saturday,23:00,2021,613.8387096774194
Saturday,23:00,2022,607.7777777777778
Saturday,23:00,2023,388.8709677419355
Saturday,23:00,2024,522.8709677419355
Sunday,00:00,2019,398.83870967741933
Sunday,00:00,2020,316.16129032258067
Sunday,00:00,2021,488.7741935483871
Sunday,00:00,2022,401.3703703703704
Sunday,00:00,2023,263.61290322580646
Sunday,00:00,2024,355.03225806451616
Sunday,01:00,2019,261.4193548387097
Sunday,01:00,2020,194.8709677419355
Sunday,01:00,2021,285.2903225806452
Sunday,01:00,2022,264.0
Sunday,01:00,2023,168.2258064516129
Sunday,01:00,2024,198.93548387096774
Sunday,02:00,2019,170.2258064516129
Sunday,02:00,2020,107.6774193548387
Sunday,02:00,2021,159.93548387096774
Sunday,02:00,2022,178.92592592592592
Sunday,02:00,2023,101.09677419354838
Sunday,02:00,2024,123.70967741935483
Sunday,03:00,2019,130.58064516129033
Sunday,03:00,2020,67.83870967741936
Sunday,03:00,2021,111.48387096774194
Sunday,03:00,2022,146.07407407407408
Sunday,03:00,2023,85.48387096774194
Sunday,03:00,2024,102.35483870967742
Sunday,04:00,2019,118.70967741935483
Sunday,04:00,2020,54.25806451612903
Sunday,04:00,2021,83.64516129032258
Sunday,04:00,2022,130.11111111111111
Sunday,04:00,2023,74.61290322580645
Sunday,04:00,2024,85.96774193548387
Sunday,05:00,2019,131.4516129032258
Sunday,05:00,2020,73.12903225806451
Sunday,05:00,2021,93.35483870967742
Sunday,05:00,2022,146.1851851851852
Sunday,05:00,2023,81.0
Sunday,05:00,2024,96.61290322580645
Sunday,06:00,2019,178.96774193548387
Sunday,06:00,2020,115.58064516129032
Sunday,06:00,2021,152.8709677419355
Sunday,06:00,2022,184.5185185185185
Sunday,06:00,2023,102.38709677419355
Sunday,06:00,2024,119.96774193548387
Sunday,07:00,2019,220.96774193548387
Sunday,07:00,2020,165.58064516129033
Sunday,07:00,2021,216.41935483870967
Sunday,07:00,2022,234.55555555555554
Sunday,07:00,2023,138.2258064516129
Sunday,07:00,2024,159.32258064516128
Sunday,08:00,2019,356.2903225806452
Sunday,08:00,2020,267.9032258064516
Sunday,08:00,2021,329.9032258064516
Sunday,08:00,2022,288.3333333333333
Sunday,08:00,2023,189.3548387096774
Sunday,08:00,2024,244.06451612903226
Sunday,09:00,2019,612.6451612903226
Sunday,09:00,2020,494.2258064516129
Sunday,09:00,2021,588.516129032258
Sunday,09:00,2022,502.4074074074074
Sunday,09:00,2023,374.61290322580646
Sunday,09:00,2024,423.5806451612903
Sunday,10:00,2019,841.7096774193549
Sunday,10:00,2020,715.7741935483871
Sunday,10:00,2021,860.8709677419355
Sunday,10:00,2022,718.4074074074074
Sunday,10:00,2023,525.1612903225806
Sunday,10:00,2024,575.0645161290323
Sunday,11:00,2019,997.9354838709677
Sunday,11:00,2020,886.483870967742
Sunday,11:00,2021,1038.8387096774193
Sunday,11:00,2022,875.7777777777778
Sunday,11:00,2023,628.8064516129032
Sunday,11:00,2024,715.7741935483871
Sunday,12:00,2019,1116.9032258064517
Sunday,12:00,2020,1034.6451612903227
Sunday,12:00,2021,1154.032258064516
Sunday,12:00,2022,1004.5185185185185
Sunday,12:00,2023,726.516129032258
