Gemeente,Population
Groningen,238147
Almere,222825
Stadskanaal,32135
Veendam,27616
Zeewolde,23692
Achtkarspelen,28149
Ameland,3840
Harlingen,16188
Heerenveen,51637
Leeuwarden,127073
Ooststellingwerf,25837
Opsterland,30054
Schiermonnikoog,982
Smallingerland,56098
Terschelling,4928
Vlieland,1291
Weststellingwerf,26467
Assen,69414
Coevorden,35700
Emmen,108765
Hoogeveen,56433
Meppel,35464
Almelo,73949
Borne,24524
Dalfsen,29612
Deventer,102781
Enschede,161235
Haaksbergen,24502
Hardenberg,62509
Hellendoorn,36261
Hengelo (O),82311
Kampen,55614
Losser,23362
Noordoostpolder,49729
Oldenzaal,31925
Ommen,18955
Raalte,38500
Staphorst,17628
Tubbergen,21408
Urk,21829
Wierden,24862
Zwolle,132411
Aalten,27244
Apeldoorn,167191
Arnhem,165770
Barneveld,61655
Beuningen,26573
Brummen,21105
Buren,27725
Culemborg,29729
Doesburg,11081
Doetinchem,59195
Druten,19505
Duiven,24937
Ede,122012
Elburg,24037
Epe,33283
Ermelo,27496
Harderwijk,48906
Hattem,12563
Heerde,19214
Heumen,16824
Lochem,34314
Maasdriel,26020
Nijkerk,44975
Nijmegen,182480
Oldebroek,24264
Putten,24904
Renkum,31461
Rheden,43570
Rozendaal,1754
Scherpenzeel,10386
Tiel,42604
Voorst,25215
Wageningen,40960
Westervoort,15114
Winterswijk,29253
Wijchen,41537
Zaltbommel,30349
Zevenaar,45042
Zutphen,48510
Nunspeet,28731
Dronten,43593
Amersfoort,160759
Baarn,25008
De Bilt,43884
Bunnik,16026
Bunschoten,22500
Eemnes,9598
Houten,50581
Leusden,31467
Lopik,14704
Montfoort,13929
Renswoude,5747
Rhenen,20329
Soest,47439
Utrecht,367947
Veenendaal,68525
Woudenberg,14358
Wijk bij Duurstede,23995
IJsselstein,33492
Zeist,66629
Nieuwegein,65426
Aalsmeer,33063
Alkmaar,111834
Amstelveen,94418
Amsterdam,918117
Bergen (N-H),30138
Beverwijk,42711
Blaricum,12490
Bloemendaal,23922
Castricum,36345
Diemen,32785
Edam-Volendam,36760
Enkhuizen,18885
Haarlem,165396
Haarlemmermeer,162300
Heemskerk,39431
Heemstede,27778
Heiloo,24319
Den Helder,56539
Hilversum,93345
Hoorn,75216
Huizen,41252
Landsmeer,11705
Laren,11712
Medemblik,46031
Oostzaan,9720
Opmeer,12180
Ouder-Amstel,14276
Purmerend,93992
Schagen,47450
Texel,13979
Uitgeest,13472
Uithoorn,31442
Velsen,68790
Zandvoort,17542
Zaanstad,159618
Alblasserdam,20356
Alphen aan den Rijn,114182
Barendrecht,48812
Drechterland,20385
Capelle aan den IJssel,67552
Delft,106086
Dordrecht,121434
Gorinchem,38461
Gouda,75316
's-Gravenhage,562839
Hardinxveld-Giessendam,18681
Hendrik-Ido-Ambacht,32183
Stede Broec,22138
Hillegom,22453
Katwijk,66607
Krimpen aan den IJssel,29504
Leiden,127089
Leiderdorp,27657
Lisse,23390
Maassluis,35303
Nieuwkoop,29463
Noordwijk,45179
Oegstgeest,25746
Oudewater,10232
Papendrecht,32277
Ridderkerk,47477
Rotterdam,663900
Rijswijk,57997
Schiedam,80628
Sliedrecht,26184
Albrandswaard,26357
Vlaardingen,75079
Voorschoten,25665
Waddinxveen,32601
Wassenaar,27093
Woerden,53244
Zoetermeer,126998
Zoeterwoude,9443
Zwijndrecht,45018
Borsele,23159
Goes,39433
West Maas en Waal,20065
Hulst,27596
Kapelle,13051
Middelburg,49956
Reimerswaal,23255
Terneuzen,54993
Tholen,26825
Veere,22045
Vlissingen,45150
De Ronde Venen,45572
Tytsjerksteradiel,32408
Asten,17242
Baarle-Nassau,7071
Bergen op Zoom,68864
Best,30897
Boekel,11163
Boxtel,33748
Breda,186438
Deurne,32977
Pekela,12404
Dongen,27200
Eersel,20004
Eindhoven,243730
Etten-Leur,44578
Geertruidenberg,22099
Gilze en Rijen,26815
Goirle,24177
Helmond,94898
's-Hertogenbosch,158753
Heusden,45830
Hilvarenbeek,15949
Loon op Zand,23797
Nuenen c.a.,24015
Oirschot,19217
Oisterwijk,32941
Oosterhout,57425
Oss,94437
Rucphen,23636
Sint-Michielsgestel,30135
Someren,20061
Son en Breugel,18010
Steenbergen,24610
Waterland,17609
Tilburg,227707
Valkenswaard,31527
Veldhoven,46417
Vught,32113
Waalre,17980
Waalwijk,49952
Woensdrecht,22191
Zundert,22518
Wormerland,16612
Landgraaf,37175
Beek,16132
Beesel,13449
Bergen (L),13119
Brunssum,27682
Gennep,17764
Heerlen,87122
Kerkrade,45620
Maastricht,122734
Meerssen,18600
Mook en Middelaar,8043
Nederweert,17499
Roermond,59981
Simpelveld,10396
Stein,24772
Vaals,10190
Venlo,103328
Venray,44628
Voerendaal,12405
Weert,50872
Valkenburg aan de Geul,16423
Lelystad,83033
Horst aan de Maas,43641
Oude IJsselstreek,39613
Teylingen,38510
Utrechtse Heuvelrug,50429
Oost Gelre,29846
Koggenland,23509
Lansingerland,64754
Leudal,36141
Maasgouw,24305
Gemert-Bakel,31383
Halderberge,31041
Heeze-Leende,16627
Laarbeek,23260
Reusel-De Mierden,13542
Roerdalen,20702
Roosendaal,77613
Schouwen-Duiveland,34561
Aa en Hunze,25724
Borger-Odoorn,25919
De Wolden,24602
Noord-Beveland,7857
Wijdemeren,24659
Noordenveld,31591
Twenterand,33867
Westerveld,19860
Lingewaard,47220
Cranendonck,20851
Steenwijkerland,45376
Moerdijk,37711
Echt-Susteren,31967
Sluis,23243
Drimmelen,27994
Bernheze,32263
Alphen-Chaam,10463
Bergeijk,19092
Bladel,21009
Gulpen-Wittem,14210
Tynaarlo,34592
Midden-Drenthe,33987
Overbetuwe,48707
Hof van Twente,35455
Neder-Betuwe,25448
Rijssen-Holten,38493
Geldrop-Mierlo,40441
Olst-Wijhe,18682
Dinkelland,26743
Westland,114887
Midden-Delfland,19472
Berkelland,44022
Bronckhorst,36277
Sittard-Geleen,92234
Kaag en Braassem,28573
Dantumadiel,19194
Zuidplas,46981
Peel en Maas,45276
Oldambt,39044
Zwartewaterland,23368
Sudwest-Fryslan,90883
Bodegraven-Reeuwijk,36308
Eijsden-Margraten,25991
Stichtse Vecht,65771
Hollands Kroon,49431
Leidschendam-Voorburg,77753
Goeree-Overflakkee,51590
Pijnacker-Nootdorp,57672
Nissewaard,86833
Krimpenerwaard,57700
De Fryske Marren,51992
Gooise Meren,60341
Berg en Dal,35420
Meierijstad,83715
Waadhoeke,46718
Westerwolde,26537
Midden-Groningen,61554
Beekdaelen,35966
Montferland,36882
Altena,57726
West Betuwe,52720
Vijfheerenlanden,60052
Hoeksche Waard,89760
Het Hogeland,48298
Westerkwartier,64946
Noardeast-Fryslan,45812
Molenlanden,45158
Eemsdelta,45394
Dijk en Waard,88985
Land van Cuijk,91423
Maashorst,58934
Voorne aan Zee,73945
